ABE,TJR,NV,DST,LMAC,OUT
0.982312,0.3111,0.033497,1,0.008498,0
0.193691,0.125775,0.059104,1,0.00855,0
0.895644,0.049375,0.041241,0,0.008585,0
0.895644,0.049375,0.041241,0,0.008585,1
0.997296,0.049375,0.11818,1,0.008658,0
0.108864,0.1164,0.701393,1,0.008724,0
0.504709,0.1719,0.039322,1,0.008771,0
0.281786,0.125775,0.059104,1,0.008828,0
0.195931,0.2775,0.009193,1,0.008851,0
0.961587,0.0975,0.381104,1,0.008891,0
0.963332,0.106975,0.381104,1,0.008894,0
0.630286,0.180975,0.025764,1,0.0093,0
0.420663,0.087975,0.047292,1,0.009304,1
0.997482,0.049375,0.068985,1,0.009315,1
0.949547,0.1164,0.36174,1,0.009398,0
0.709809,0.251775,0.024863,1,0.009422,1
0.544292,0.1536,0.059101,1,0.009473,0
0.194014,0.1351,0.059104,1,0.009528,0
0.997471,0.144375,0.635745,0,0.009545,1
0.637371,0.144375,0.009579,1,0.009579,1
0.194312,0.1351,0.059104,1,0.009969,0
0.962792,0.144375,0.381104,1,0.010025,0
0.258041,0.087975,0.082829,1,0.010026,1
0.194513,0.144375,0.059104,1,0.010066,0
0.194488,0.144375,0.059104,1,0.010068,0
0.282222,0.1351,0.059104,1,0.010068,1
0.997704,0.0591,0.024487,1,0.010179,1
0.63143,0.1536,0.058798,1,0.010354,0
0.805847,0.2604,0.00503,1,0.010411,1
0.632733,0.1536,0.054948,1,0.01049,1
0.959837,0.3439,0.049189,1,0.010552,0
0.734359,0.19,0.370551,1,0.01068,0
0.989066,0.268975,0.594247,1,0.010791,0
0.25797,0.068775,0.085012,1,0.011086,1
0.996571,0.0975,0.658149,1,0.011093,1
0.968347,0.1351,0.659666,0,0.011135,1
0.99256,0.367975,0.409562,1,0.011197,1
0.994103,0.144375,0.126184,1,0.011347,0
0.991441,0.2775,0.572376,1,0.011381,1
0.998837,0.049375,0.129246,1,0.011411,1
0.254123,0.180975,1,1,0.011421,1
0.991518,0.2775,0.572376,1,0.011433,1
0.991596,0.2775,0.572376,1,0.011578,1
0.465987,0.162775,0.400559,1,0.01182,0
0.637323,0.1536,0.011876,1,0.011876,1
0.991675,0.2775,0.572376,1,0.011987,1
0.935678,0.087975,1,0,0.012021,1
0.981822,0.162775,0.381102,1,0.012111,0
0.984589,0.216775,0.485876,1,0.012256,0
0.714964,0.125775,0.381296,0.998593,0.012318,0
0.978682,0.1351,0.381102,1,0.012433,0
0.989748,0.268975,0.029168,1,0.012457,0
0.997764,0.1351,0.624358,0,0.012499,1
0.262929,0.068775,0.088961,1,0.012569,0
0.716127,0.251775,0.007642,1,0.012641,1
0.347665,0.198975,0.03699,1,0.01267,1
0.637101,0.1536,0.022954,1,0.012728,1
0.962479,0.144375,0.381104,1,0.012765,0
0.964377,0.1164,0.637065,0,0.013046,0
0.991756,0.268975,0.572376,1,0.013086,1
0.992381,0.3916,0.409096,1,0.013554,1
0.282788,0.144375,0.059104,1,0.013617,0
0.984396,0.36,0.332834,1,0.013713,1
0.911563,0.1351,0.116568,1,0.013953,0
0.822946,0.2256,0.378465,1,0.013988,1
0.911558,0.2431,0.381117,1,0.014251,1
0.71881,0.1536,0.058289,1,0.014454,1
0.725582,0.1536,0.014555,1,0.014555,1
0.984936,0.1164,0.381102,1,0.014574,0
0.959511,0.2944,0.56657,0.117647,0.014684,1
0.99645,0.106975,0.668998,1,0.014686,1
0.377008,0.1536,0.572001,1,0.015071,1
0.822522,0.2256,0.405677,1,0.01528,1
0.962307,0.1351,0.381104,1,0.015357,0
0.978572,0.1536,0.381102,1,0.015409,0
0.990906,0.009975,0.015556,0,0.015557,0
0.990906,0.009975,0.015556,0,0.015557,0
0.990941,0.009975,0.015556,0,0.015557,0
0.990941,0.009975,0.015556,0,0.015557,0
0.990975,0.009975,0.015556,0,0.015557,0
0.990975,0.009975,0.015556,0,0.015557,0
0.99101,0.009975,0.015556,0,0.015557,0
0.99101,0.009975,0.015556,0,0.015557,0
0.991044,0.009975,0.015556,0,0.015557,0
0.991044,0.009975,0.015556,0,0.015557,0
0.991078,0.009975,0.015556,0,0.015557,0
0.991078,0.009975,0.015556,0,0.015557,0
0.991113,0.009975,0.015556,0,0.015557,0
0.991113,0.009975,0.015556,0,0.015557,0
0.991147,0.009975,0.015556,0,0.015557,0
0.991147,0.009975,0.015556,0,0.015557,0
0.991181,0.009975,0.015556,0,0.015557,0
0.991181,0.009975,0.015556,0,0.015557,0
0.991215,0.009975,0.015556,0,0.015557,0
0.991215,0.009975,0.015556,0,0.015557,0
0.991249,0.009975,0.015556,0,0.015557,0
0.991249,0.009975,0.015556,0,0.015557,0
0.991283,0.009975,0.015556,0,0.015557,0
0.991283,0.009975,0.015556,0,0.015557,0
0.991317,0.009975,0.015556,0,0.015557,0
0.991317,0.009975,0.015556,0,0.015557,0
0.99135,0.009975,0.015556,0,0.015557,0
0.99135,0.009975,0.015556,0,0.015557,0
0.991384,0.0199,0.015556,0,0.015557,0
0.991384,0.0199,0.015556,0,0.015557,0
0.991418,0.0199,0.015556,0,0.015557,0
0.991418,0.0199,0.015556,0,0.015557,0
0.991452,0.0199,0.015556,0,0.015557,0
0.991452,0.0199,0.015556,0,0.015557,0
0.991486,0.0199,0.015556,0,0.015557,0
0.991486,0.0199,0.015556,0,0.015557,0
0.991521,0.0199,0.015556,0,0.015557,0
0.991521,0.0199,0.015556,0,0.015557,0
0.991555,0.0199,0.015556,0,0.015557,0
0.991555,0.0199,0.015556,0,0.015557,0
0.991589,0.0199,0.015556,0,0.015557,0
0.991589,0.0199,0.015556,0,0.015557,0
0.991624,0.0199,0.015556,0,0.015557,0
0.991624,0.0199,0.015556,0,0.015557,0
0.991658,0.0199,0.015556,0,0.015557,0
0.991658,0.0199,0.015556,0,0.015557,0
0.991692,0.0199,0.015556,0,0.015557,0
0.991692,0.0199,0.015556,0,0.015557,0
0.991726,0.029775,0.015556,0,0.015557,0
0.991726,0.029775,0.015556,0,0.015557,0
0.99176,0.0199,0.015556,0,0.015557,0
0.99176,0.0199,0.015556,0,0.015557,0
0.991792,0.0199,0.015556,0,0.015557,0
0.991792,0.0199,0.015556,0,0.015557,0
0.991826,0.0199,0.015556,0,0.015557,0
0.991826,0.0199,0.015556,0,0.015557,0
0.99186,0.0199,0.015556,0,0.015557,0
0.99186,0.0199,0.015556,0,0.015557,0
0.991893,0.0199,0.015556,0,0.015557,0
0.991893,0.0199,0.015556,0,0.015557,0
0.991927,0.0199,0.015556,0,0.015557,0
0.991927,0.0199,0.015556,0,0.015557,0
0.99196,0.029775,0.015556,0,0.015557,0
0.99196,0.029775,0.015556,0,0.015557,0
0.991993,0.029775,0.015556,0,0.015557,0
0.991993,0.029775,0.015556,0,0.015557,0
0.99203,0.029775,0.015556,0,0.015557,0
0.99203,0.029775,0.015556,0,0.015557,0
0.992064,0.029775,0.015556,0,0.015557,0
0.992064,0.029775,0.015556,0,0.015557,0
0.992097,0.029775,0.015556,0,0.015557,0
0.992097,0.029775,0.015556,0,0.015557,0
0.992133,0.029775,0.015556,0,0.015557,0
0.992133,0.029775,0.015556,0,0.015557,0
0.992172,0.029775,0.015556,0,0.015557,0
0.992172,0.029775,0.015556,0,0.015557,0
0.992208,0.0396,0.015556,0,0.015557,0
0.992208,0.0396,0.015556,0,0.015557,0
0.992242,0.0396,0.015556,0,0.015557,0
0.992242,0.0396,0.015556,0,0.015557,0
0.992277,0.049375,0.015556,0,0.015557,0
0.992277,0.049375,0.015556,0,0.015557,0
0.992312,0.049375,0.015556,0,0.015557,0
0.992312,0.049375,0.015556,0,0.015557,0
0.992351,0.049375,0.015556,0,0.015557,0
0.992351,0.049375,0.015556,0,0.015557,0
0.992386,0.049375,0.015556,0,0.015557,0
0.992386,0.049375,0.015556,0,0.015557,0
0.992427,0.049375,0.015556,0,0.015557,0
0.992427,0.049375,0.015556,0,0.015557,0
0.992468,0.0396,0.015556,0,0.015557,0
0.992468,0.0396,0.015556,0,0.015557,0
0.992508,0.0396,0.015556,0,0.015557,0
0.992508,0.0396,0.015556,0,0.015557,0
0.992548,0.049375,0.015556,0,0.015557,0
0.992548,0.049375,0.015556,0,0.015557,0
